ProsperRating..Alpha.	year	ProsperScore	mean_apr	mean_yield	mean_amount	mean_return	n
B	2012	8	0.2034	0.158932726237906	9451.56744450768	0.1023	1757
B	2012	9	0.2028	0.156301941747573	8619.57281553398	0.0991	206
B	2012	10	0.2032	0.155634375	8421.875	0.0996	32
B	2013	1	0.172	0.131215	10750	0.0776	2
B	2013	2	0.1899	0.13645	8143.7	0.0812	40
B	2013	4	0.1869	0.136263476144109	11131.1674780915	0.0837	1027
B	2013	5	0.1883	0.139174424432263	11349.2592012529	0.0861	1277
B	2013	6	0.185	0.13706870864461	12150.9156883671	0.0852	1874
B	2013	7	0.1796	0.132672895204263	13360.6773238603	0.0827	1689
B	2013	8	0.1746	0.129071277330265	15181.3118527043	0.0797	869
B	2013	9	0.1738	0.129969185185185	17389.6765432099	0.08	405
B	2013	10	0.1703	0.127353775510204	16061.3843537415	0.0787	294
B	2014	1	0.1673	0.11567	12000	0.0708	1
B	2014	2	0.1727	0.120021904761905	8731.95238095238	0.0708	21
B	2014	4	0.1719	0.12019270886076	10810.2911392405	0.0712	395
B	2014	5	0.1757	0.126777172995781	12116.2447257384	0.0729	237
B	2014	6	0.1721	0.123659301745636	12453.4962593516	0.0721	401
B	2014	7	0.1698	0.122269016393443	14306.1741803279	0.0718	488
B	2014	8	0.1668	0.122386350574713	16263.1436781609	0.0718	348
B	2014	9	0.1634	0.120864251497006	18481.1377245509	0.0715	167
B	2014	10	0.1631	0.120342430555556	19710.0694444444	0.0713	144
C	2009	4	0.2546	0.136846153846154	13538.4615384615	0.1368	13
C	2009	5	0.2455	0.130521052631579	14273.6842105263	0.1305	19
C	2009	6	0.2401	0.131781818181818	11018.1818181818	0.1318	11
C	2009	7	0.2417	0.1324	8666.66666666667	0.1324	9
C	2009	8	0.2484	0.127990410958904	4128.76712328767	0.128	73
C	2009	9	0.2245	0.118908984375	2625.5859375	0.1189	256
C	2009	10	0.2136	0.104056818181818	1470.45454545455	0.1041	44
C	2010	4	0.2961	0.171425	10375	0.1714	4
C	2010	5	0.2497	0.132077272727273	10504.5454545455	0.1321	22
C	2010	6	0.254	0.128313953488372	9972.60465116279	0.1249	43
C	2010	7	0.2436	0.127051282051282	8110.25641025641	0.1201	39
C	2010	8	0.2422	0.125455371900826	4408.38842975207	0.1226	121
C	2010	9	0.2203	0.114478819444444	2584.75694444444	0.1145	288
C	2010	10	0.2125	0.103705769230769	1474.03846153846	0.1037	52
C	2011	1	0.2649	0.218066666666667	12666.6666666667	0.1331	3
C	2011	2	0.2589	0.208377142857143	9202.85714285714	0.1236	35
C	2011	4	0.2582	0.20505375	7030.5	0.1214	80
C	2011	5	0.2464	0.195151063829787	8493.6170212766	0.1194	94
C	2011	6	0.2278	0.180116666666667	8570.26666666667	0.115	270
C	2011	7	0.2286	0.182041040462428	8123.12138728324	0.1145	173
C	2011	8	0.2256	0.176580729166667	6233.93229166667	0.0952	192
C	2011	9	0.2266	0.17967619047619	5572.52380952381	0.0991	21
C	2012	1	0.224	0.1728	12000	0.1054	2
C	2012	2	0.2375	0.186506451612903	9903.90322580645	0.1162	62
C	2012	4	0.2346	0.185392022792023	8982.90028490028	0.1183	351
C	2012	5	0.2338	0.184206629834254	9056.47237569061	0.1172	362
C	2012	6	0.2557	0.203734232715008	9743.41821247892	0.1176	593
C	2012	7	0.2571	0.206137400950872	8390.40729001585	0.1191	1893
C	2012	8	0.2315	0.180407068607069	8035.4158004158	0.1118	481
C	2012	9	0.2347	0.17955	6446.90625	0.1074	32
C	2012	10	0.2235	0.1649	5000	0.095	1
C	2013	1	0.217	0.162015	8038	0.0838	12
C	2013	2	0.2308	0.173815367647059	10120.8161764706	0.0935	272
C	2013	4	0.2237	0.169209256198347	10859.3792116974	0.0924	3146
C	2013	5	0.2244	0.170865362723214	11472.62109375	0.096	1792
C	2013	6	0.2174	0.165481073781291	12503.6824769433	0.0911	1518
C	2013	7	0.2112	0.160586533333333	13134.7651282051	0.0876	975
C	2013	8	0.2082	0.158504539170507	12986.4124423963	0.0863	434
C	2013	9	0.2117	0.162132424242424	13673.303030303	0.089	132
C	2013	10	0.2073	0.158512647058824	12948.5294117647	0.0878	68
C	2014	1	0.2138	0.155075	12150	0.0789	4
C	2014	2	0.213	0.156707438016529	10566.3305785124	0.0797	121
C	2014	4	0.2094	0.155757071678322	11198.2910839161	0.0794	1144
C	2014	5	0.2064	0.154338470254958	12742.8781869688	0.0789	353
C	2014	6	0.2033	0.152240494623656	12090.2150537634	0.0787	465
C	2014	7	0.2009	0.152229715302491	13768.9359430605	0.0786	281
C	2014	8	0.1994	0.150001712707182	13452.4861878453	0.078	181
C	2014	9	0.1924	0.146537804878049	14329.2682926829	0.0774	41
C	2014	10	0.1948	0.148395161290323	13809.6774193548	0.0777	31
D	2009	6	0.2952	0.153410638297872	4969.78723404255	0.1534	47
D	2009	7	0.2859	0.144005699481865	3848.59585492228	0.144	193
D	2009	8	0.2833	0.139759090909091	3005.50757575758	0.1398	132
D	2010	5	0.3021	0.153551111111111	4377.26666666667	0.1442	90
D	2010	6	0.3011	0.160040167364017	4439.87866108787	0.1482	239
D	2010	7	0.2945	0.151364597315436	4016.72483221477	0.1452	596
D	2010	8	0.2917	0.146189119170984	3732.57772020725	0.1422	386
D	2010	9	0.303	0.152438461538462	3507.69230769231	0.1441	13
D	2010	10	0.3197	0.1504	1336	0.1504	1
D	2011	1	0.2852	0.229828571428571	9357.14285714286	0.1298	7
D	2011	2	0.2872	0.232952777777778	6906.95833333333	0.1305	72
D	2011	4	0.2814	0.230083333333333	6525.70238095238	0.1285	252
D	2011	5	0.2948	0.241675087719298	6906.25614035088	0.1343	570
D	2011	6	0.2991	0.24468699127907	5931.57412790698	0.1349	1376
D	2011	7	0.2979	0.244835764705882	5810.59764705882	0.1357	850
D	2011	8	0.3029	0.247224731182796	5313.40860215054	0.1388	93
D	2011	9	0.3015	0.2431	3900	0.1366	8
D	2011	10	0.3131	0.2608	2000	0.1628	1
D	2012	1	0.2921	0.230910526315789	11102.4736842105	0.1184	19
